Depth (mbsf),GR,RHOB,A16L,A40L,P16H,P28H,P40H,Vp
777.5448,76.57461,2.193287,2.271765,2.287293,2.182682,2.19948,2.213506,1960.11
777.6972,76.2887,2.201469,2.25094,2.278862,2.151953,2.162913,2.171796,1957.672
777.8496,74.68506,2.200807,2.206879,2.305165,2.074859,2.065436,2.061937,1962.56
778.002,73.58171,2.181575,2.166283,2.259083,2.068252,2.061516,2.069169,1972.385
778.1544,76.69975,2.198857,2.137711,2.232339,2.051225,2.05386,2.074431,1986.083
778.3068,76.40044,2.194794,2.118526,2.218643,1.978111,2.001493,2.020809,2003.76
778.4592,75.74627,2.191218,2.126819,2.197382,1.923074,1.939463,1.941345,2017.844
778.6116,72.81284,2.199241,2.129776,2.190269,1.908967,1.91205,1.88956,2017.844
778.764,71.91033,2.199257,2.149741,2.159873,2.015139,1.982335,1.959715,2003.76
778.9164,71.91251,2.207769,2.155709,2.160203,2.111681,2.068965,2.070082,1976.257
779.0688,73.01934,2.185736,2.11975,2.158128,2.172996,2.149303,2.188328,1942.116
779.2212,74.97244,2.217959,2.054898,2.125264,2.184503,2.204239,2.258293,1923.04
779.3736,75.77254,2.251797,2.044726,2.128731,1.993998,2.031312,2.063569,1923.04
779.526,76.35438,2.184922,2.027929,2.123659,1.807228,1.825955,1.833381,1923.04
779.6784,78.34953,2.123986,1.980299,2.072083,1.779459,1.772856,1.77836,1906.831
779.8308,80.45016,2.104708,1.969202,2.061793,1.826927,1.828187,1.844946,1894.141
779.9832,78.24019,2.09204,1.933558,2.014453,1.784583,1.806028,1.816162,1904.498
780.1356,78.09373,2.084093,1.926458,1.997875,1.769902,1.782337,1.786913,1925.441
780.288,76.86864,2.075912,1.921379,1.992141,1.768763,1.783291,1.7836,1938.411
780.4404,81.97543,2.078354,1.957325,2.008466,1.7714,1.78048,1.785629,1940.795
780.5928,86.5981,2.106778,1.928615,1.991969,1.857196,1.847509,1.8422,1954.122
780.7452,84.28677,2.06633,1.940299,1.986537,1.937509,1.943226,1.913825,1973.627
780.8976,77.12161,2.103748,1.93374,1.991498,1.978277,1.973562,1.933181,1984.806
781.05,74.34801,2.125096,1.926731,2.006903,1.930882,1.919428,1.889239,1976.177
781.2024,78.20024,2.138456,1.935056,2.004159,1.892343,1.865749,1.855761,1934.071
781.3548,80.35749,2.153078,1.940593,1.987602,1.884439,1.842799,1.850508,1903.295
781.5072,80.20339,2.166179,1.915997,1.984429,1.939247,1.896994,1.925477,1903.295
781.6596,80.5083,2.163665,1.886182,1.96223,1.965041,1.969417,2.015819,1905.594
781.812,82.73554,2.146591,1.8801,1.968408,1.884137,1.918667,1.962415,1905.594
