Depth (mbsf),GR,RHOB,RES,Vp
294.612,91.77294,1.610093,0.696782,1564.83
115.4836,95.46217,1.861819,0.696855,1531.65
299.0316,87.81085,1.555594,0.696891,1498.052
417.2356,83.93725,1.969434,0.696935,1569.153
242.2804,83.93725,1.969434,0.696935,1569.153
107.254,95.42121,1.850014,0.697027,1517.173
114.874,100.0773,1.85066,0.697028,1526.25
173.3956,96.45241,1.851074,0.697087,1543.573
299.3364,91.70305,1.544853,0.697257,1490.04
188.2348,87.0808,1.493987,0.697438,1582.713
204.79,86.06214,1.763971,0.697526,1511.026
300.4032,91.86897,1.567079,0.697541,1475.472
280.8376,96.54932,1.855707,0.697567,1543.695
173.2432,96.54932,1.855707,0.697567,1543.695
205.0948,70.22475,1.798902,0.697581,1564.565
226.4308,91.19719,1.772753,0.697839,1568.062
298.516,90.58974,1.772442,0.697879,1568.556
226.2784,90.58974,1.772442,0.697879,1568.556
226.126,90.13228,1.773018,0.697919,1569.562
225.6688,88.63392,1.773521,0.697926,1572.202
225.9736,89.6748,1.773594,0.697959,1570.662
295.9836,97.52195,1.571994,0.698118,1548.716
60.8284,73.29218,1.797196,0.698363,1532.045
280.3804,110.1674,1.850951,0.698413,1545.471
171.8716,110.1674,1.850951,0.698413,1545.471
172.024,107.4956,1.851451,0.698543,1545.326
210.4288,90.44329,1.752652,0.698979,1532.626
114.5692,102.9718,1.845345,0.69904,1520.576
